Ognoo,Iteminfid,Uldegdel
2022-06-01,120620429994600013,0.00
2022-06-01,120620429994600026,0.00
2022-06-01,140224536726700000,0.00
2022-06-01,150203456119500001,1.00
2022-06-01,150930603566800001,12.00
2022-06-01,151229506383600001,33.00
2022-06-01,151229527874800001,0.00
2022-06-01,160121610393900001,0.00
2022-06-01,160513343594000001,20.00
2022-06-01,160826685080700001,477.00
2022-06-01,170407678293400001,3.00
2022-06-01,170428381482200001,292.00
2022-06-01,171030000763800001,-1.00
2022-06-01,180213012331300001,966.00
2022-06-01,180327043373200005,32.00
2022-06-01,180604114334600001,196.00
2022-06-01,180604114351700001,115.00
2022-06-01,180604114383000001,2061.00
2022-06-01,180704149959400001,42.00
2022-06-01,180706153232200002,30.00
2022-06-01,180706153232200003,73.00
2022-06-01,180706153232200005,42.00
2022-06-01,180920233009700325,-430.00
2022-06-01,190603577080600001,5.00
2022-06-01,190909745530500004,604.00
2022-06-01,199009170000000056,93.00
2022-06-01,200813226771700001,611.00
2022-06-01,200826241374700001,1.00
2022-06-01,201104060000000029,71.00
2022-06-01,201205090000000004,911.00
2022-06-01,201207090000000130,5.00
2022-06-01,210327509663500011,96.00
2022-06-01,211116153741172477,-568.00
2022-06-01,220406222153830970,26.00
2022-06-02,2007121328749,9.00
2022-06-02,2007121328895,77.00
2022-06-02,2007121329180,597.00
2022-06-02,2007121329377,-1756.00
2022-06-02,2007121329379,-380.00
2022-06-02,2007121329380,-1240.00
2022-06-02,2007121329381,244.00
2022-06-02,2007121331288,92.00
2022-06-02,2007121332656,10.00
2022-06-02,2007121332659,19.00
2022-06-02,2007121334813,58.00
2022-06-02,120620429994600001,0.00
2022-06-02,120620429994600002,0.00
2022-06-02,120620429994600013,0.00
2022-06-02,120620429994600026,0.00
2022-06-02,140224536726700000,0.00
2022-06-02,150203456119500001,1.00
2022-06-02,150930603566800001,56.00
2022-06-02,151229506383600001,50.00
2022-06-02,151229527874800001,0.00
2022-06-02,160121610393900001,0.00
2022-06-02,160513343594000001,20.00
2022-06-02,160826685080700001,476.00
2022-06-02,170407678293400001,2.00
2022-06-02,170428381482200001,283.00
2022-06-02,171030000763800001,-1.00
2022-06-02,180213012331300001,930.00
2022-06-02,180327043373200005,41.00
2022-06-02,180604114334600001,172.00
2022-06-02,180604114351700001,111.00
2022-06-02,180604114383000001,1709.00
2022-06-02,180704149959400001,56.00
2022-06-02,180706153232200002,292.00
2022-06-02,180706153232200003,266.00
2022-06-02,180706153232200005,123.00
2022-06-02,180920233009700325,-470.00
2022-06-02,190603577080600001,9.00
2022-06-02,190909745530500004,597.00
2022-06-02,199009170000000056,69.00
2022-06-02,200813226771700001,607.00
2022-06-02,200826241374700001,1.00
2022-06-02,201104060000000029,72.00
2022-06-02,201205090000000004,886.00
2022-06-02,201207090000000130,5.00
2022-06-02,210327509663500011,85.00
2022-06-02,211116153741172477,-568.00
2022-06-02,220406222153830970,36.00
2022-06-03,2007121328749,10.00
2022-06-03,2007121328895,42.00
2022-06-03,2007121329180,570.00
2022-06-03,2007121329377,-1816.00
2022-06-03,2007121329379,-380.00
2022-06-03,2007121329380,-1261.00
2022-06-03,2007121329381,243.00
2022-06-03,2007121331288,82.00
2022-06-03,2007121332656,8.00
2022-06-03,2007121332659,13.00
2022-06-03,2007121334813,44.00
2022-06-03,120620429994600001,0.00
2022-06-03,120620429994600002,0.00
2022-06-03,120620429994600013,0.00
2022-06-03,120620429994600026,0.00
2022-06-03,140224536726700000,0.00
2022-06-03,150203456119500001,1.00
2022-06-03,150930603566800001,35.00
2022-06-03,151229506383600001,37.00
2022-06-03,151229527874800001,0.00
2022-06-03,160121610393900001,0.00
2022-06-03,160513343594000001,20.00
2022-06-03,160826685080700001,466.00
2022-06-03,170407678293400001,29.00
2022-06-03,170428381482200001,273.00
2022-06-03,171030000763800001,-1.00
2022-06-03,180213012331300001,918.00
2022-06-03,180327043373200005,36.00
2022-06-03,180604114334600001,151.00
2022-06-03,180604114351700001,102.00
2022-06-03,180604114383000001,1431.00
2022-06-03,180704149959400001,42.00
2022-06-03,180706153232200002,252.00
2022-06-03,180706153232200003,246.00
2022-06-03,180706153232200005,108.00
2022-06-03,180920233009700325,-486.00
2022-06-03,190603577080600001,6.00
2022-06-03,190909745530500004,587.00
2022-06-03,199009170000000056,197.00
2022-06-03,200813226771700001,593.00
2022-06-03,200826241374700001,1.00
2022-06-03,201104060000000029,48.00
2022-06-03,201205090000000004,871.00
2022-06-03,201207090000000130,5.00
2022-06-03,210327509663500011,80.00
2022-06-03,211116153741172477,-568.00
2022-06-03,220406222153830970,35.00
2022-06-04,2007121328749,10.00
2022-06-04,2007121328895,66.00
2022-06-04,2007121329180,544.00
2022-06-04,2007121329377,281.00
2022-06-04,2007121329379,0.00
2022-06-04,2007121329380,290.00
2022-06-04,2007121329381,242.00
2022-06-04,2007121331288,72.00
2022-06-04,2007121332656,9.00
2022-06-04,2007121332659,16.00
2022-06-04,2007121334813,39.00
2022-06-04,120620429994600001,0.00
2022-06-04,120620429994600002,0.00
2022-06-04,120620429994600013,0.00
2022-06-04,120620429994600026,0.00
2022-06-04,140224536726700000,0.00
2022-06-04,150203456119500001,1.00
